design_order,design_id,suite,family_id,decision_type,title,decision_object,intervention_mechanism,primary_outcome,horizon,spatial_unit,binding_constraint_kind,evidence_gate_type,analysis_modes,required_source_roles,implementation_status,current_readiness,existing_template_ref,city_bindings,method_claimed,design_signature,content_hash
138,scenario.housing.land-use-regeneration.development-displacement.v1,housing-land-use-regeneration,housing.land-use-regeneration,forecast,"Forecast development, affordability, and displacement pressure",neighborhood development and displacement pressure,scenario-conditioned parcel and housing-market forecasting,residents and businesses exposed to modeled involuntary displacement pressure,weeks,neighborhood,capacity,model-calibration,forecast,equity-attribute|financial-cost|geographic-identity|housing-market|land-parcel|outcome-panel,design-only,blocked-missing-source,,0,false,sha256:cff86999028ffea930c5a92b5aa7483efececf3d0ffc44f457d37a089d10e1b3,sha256:59dd88f0152c6bc111f7af271b7b3aebeb5eecfdeb953d1ed028ce294e80d3d8
139,scenario.housing.land-use-regeneration.regeneration-investments.v1,housing-land-use-regeneration,housing.land-use-regeneration,prioritize,Prioritize inclusive regeneration investments,inclusive neighborhood regeneration investment portfolio,"community-benefit, access, risk, and lifecycle portfolio optimization",unmet verified community-benefit and infrastructure need,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-condition|community-input|financial-cost|geographic-identity|housing-market|land-parcel,design-only,blocked-missing-source,,0,false,sha256:ff22345e2717be81e1567374d0640224d9730b8782559dd4508233db75c684de,sha256:846c1744ce9446e5b64877737ea60f41874fe84b0518573b87a06b61d8af1d6b
140,scenario.housing.land-use-regeneration.community-anchor-sites.v1,housing-land-use-regeneration,housing.land-use-regeneration,site,Site public anchors and mixed-use regeneration projects,public anchor and mixed-use regeneration locations,"parcel, access, heritage, hazard, and community-goal siting",verified service and opportunity need beyond feasible anchor access,multi-year,parcel,regulatory,legal-authority,simulation|optimization,climate-hazard|community-input|geographic-identity|housing-market|land-parcel|legal-regulatory|transport-network,design-only,blocked-missing-source,,0,false,sha256:e5eda20d785ac7cae001169ddecd87f0c78a16c827a4ae30a0e120e6a7a6c70d,sha256:dfa364eb2e5ce6b1b39e80db12c0e8f36afc65addf04804cb487a5cd132ba896
141,scenario.housing.land-use-regeneration.regeneration-benefits.v1,housing-land-use-regeneration,housing.land-use-regeneration,allocate,Allocate regeneration funds and community benefits,regeneration funding and enforceable community benefits,"minimum-benefit, need, deliverability, and displacement-risk allocation",verified community priorities without funded enforceable benefit,weeks,neighborhood,equity,equity-measurement,simulation|optimization,community-input|equity-attribute|financial-cost|geographic-identity|housing-market|land-parcel|legal-regulatory,design-only,blocked-missing-source,,0,false,sha256:d883f7c7fff0362d39022ee388fab7f374b4430c8f4d8faa5b984ca411c64b27,sha256:e2838d3d96452a0459b9846b62f7802877e31607b18de5e52639c53bb9b8e54a
142,scenario.housing.land-use-regeneration.regeneration-phasing.v1,housing-land-use-regeneration,housing.land-use-regeneration,schedule,Schedule regeneration infrastructure and protections,regeneration project and community-protection phasing,dependency and no-net-harm milestone scheduling,resident- and business-days exposed before required protections,weeks,neighborhood,time,temporal-alignment,forecast|optimization,financial-cost|geographic-identity|housing-market|land-parcel|legal-regulatory|service-schedule,design-only,blocked-missing-source,,0,false,sha256:0cadd3cb0a88b11017e7809d516ae08a579a48147eae8563623769b56a358d8c,sha256:f99da621858b01ccb965df0472aa52b46d575eff4e72cdc8d1ad26b3cca1c684
143,scenario.housing.land-use-regeneration.regeneration-market-shock.v1,housing-land-use-regeneration,housing.land-use-regeneration,stress-test,Stress-test regeneration under market and delivery shocks,inclusive regeneration plan under market and delivery shock,"parcel, finance, displacement, infrastructure, and hazard simulation","scenario-weighted loss of protected housing, businesses, and public benefits",seasonal,neighborhood,risk,external-validation,forecast|simulation|optimization,climate-hazard|financial-cost|geographic-identity|housing-market|land-parcel|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:db7e5c72b1979318d51c1c13f0c720a5198d58f3b0ef52e90bea5de275c3222c,sha256:e56ee4a1eb09b897ed081301c7143fd6e51d082d77b6701d9612622896e14f62
144,scenario.housing.land-use-regeneration.regeneration-effect.v1,housing-land-use-regeneration,housing.land-use-regeneration,evaluate,Evaluate regeneration and community-benefit effects,phased regeneration and community-benefit intervention,matched neighborhood event-study with resident and business panels,"change in verified access, stability, and secured community benefits",multi-year,neighborhood,equity,causal-identification,descriptive|causal,community-input|equity-attribute|geographic-identity|housing-market|intervention-assignment|land-parcel|legal-regulatory|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:c30135955930348ef924f93b2d459634bf9216a61c991b8fa0570634da3d5ee2,sha256:e5f2b3feb7dcff0842c9337d6d6ca4c07de162a9a98153b0009da02a18789d42
145,scenario.public-service.demand.request-workload.v1,public-service-operations,public-service.demand,diagnose,Diagnose public-service request workload and workflow friction,public-service request workload and workflow friction,taxonomy-aware request-flow and handoff diagnosis,requests with unresolved routing or repeated workflow transitions,annual,service-area,technical,geographic-alignment,descriptive,geographic-identity|municipal-demand|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:24bc68b9382f16a8873ca47ff7b8d180dc019b18eae92a43f1e34780a2c9b448,sha256:e1e0033d585327fefc7760cf24f544276884faa9711364354bdb3f19686a7367
146,scenario.public-service.demand.service-workload.v1,public-service-operations,public-service.demand,forecast,Forecast multichannel public-service workload,multichannel public-service workload,hierarchical category and arrival-process forecasting,request workload above verified handling capacity,weeks,service-area,capacity,model-calibration,forecast,geographic-identity|municipal-demand|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:4f7078643ac840978d301e0515129a99312574a98ca361ec4c902937cb29bc9a,sha256:27e9df2aea3d91a86fe68b3a4346e9a50ea51772c661f5822e61b78eec23b553
147,scenario.public-service.demand.service-improvement-portfolio.v1,public-service-operations,public-service.demand,prioritize,Prioritize public-service workflow improvements,public-service workflow improvement portfolio,"volume, burden, equity, failure-mode, and lifecycle prioritization",expected avoidable request handling and resident effort,multi-year,asset,budget,cost-capacity,descriptive|optimization,community-input|equity-attribute|financial-cost|geographic-identity|municipal-demand|operating-capacity,reference-implemented,reference-implemented,deep.public-service.total-demand.v1,0,false,sha256:01b3dc98d336ce7bc0c3d2860e29b8505e028250d350a02184012c42d8043039,sha256:d0442f9578fd6c926c7393de00bc6bcf5ff82a9eeacf47c611bf374ed145f95d
148,scenario.public-service.demand.service-access-points.v1,public-service-operations,public-service.demand,site,Site multilingual public-service access points,multilingual public-service access locations,"channel-gap, travel, language, privacy, and capacity-aware siting",residents beyond usable public-service access,multi-year,facility,regulatory,legal-authority,simulation|optimization,equity-attribute|facility-inventory|geographic-identity|municipal-demand|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:6b6a3b089caad8a5c356a54af2cdc1c2f9528451a1dd50a296d9b25943ea37e4,sha256:d69b1ed6f964c962ec016e72d05ef1a9220e972c73e76b1e1ad67201de07c850
149,scenario.public-service.demand.case-routing-capacity.v1,public-service-operations,public-service.demand,allocate,Allocate service cases and response capacity,public-service cases and response capacity,"skills-, urgency-, equity-, and SLA-constrained queue allocation",priority requests without assigned qualified capacity,weeks,service-area,equity,equity-measurement,simulation|optimization,equity-attribute|geographic-identity|municipal-demand|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:f670e56583514ab85e41d89ad1b60faee717cb81d2714106b875ede7fcdb2c78,sha256:c8150dda0dc01bfc783b8ab75fc5fc75089ca5edd2da8ff9fcb926a4a71a46cd
150,scenario.public-service.demand.seasonal-service-staffing.v1,public-service-operations,public-service.demand,schedule,Schedule seasonal public-service staffing,seasonal public-service staffing and channel schedule,forecast-driven skill and shift scheduling,request-hours above qualified handling capacity,weeks,citywide,time,temporal-alignment,forecast|optimization,geographic-identity|legal-regulatory|municipal-demand|operating-capacity|real-time-state|service-schedule,reference-implemented,reference-implemented,deep.public-service.seasonal-staffing.v1,0,false,sha256:da0c166fd88e805d5fb6a4687d4830fa2ee213bd14b31d23c9625cf6a5dcf357,sha256:57c241c3aafb2dc622c24b41da4cf040c5ac6d23d4d996179ba8f9f18a18a78f
151,scenario.public-service.demand.service-demand-surge.v1,public-service-operations,public-service.demand,stress-test,Stress-test public-service continuity under demand surge,public-service continuity under multichannel demand surge,"arrival, channel, workforce, system, and field-capacity simulation",scenario-weighted priority requests beyond response targets,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-condition|climate-hazard|geographic-identity|municipal-demand|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:1bcd7ac4bf15391258a8ef99fadebc4c15a3a42292f7a4f4c947891be020cef3,sha256:e865a57b41f2b2086930fec6a6ed5c2fe159c164c9cf9375de8496e43d72ca4e
152,scenario.public-service.demand.channel-redesign-effect.v1,public-service-operations,public-service.demand,evaluate,Evaluate service intake and routing redesign,phased public-service channel and routing redesign,staggered queue or service-area evaluation with outcome panels,change in verified end-to-end handling time and repeat contact,multi-year,service-area,equity,causal-identification,descriptive|causal,community-input|equity-attribute|geographic-identity|intervention-assignment|municipal-demand|operating-capacity|outcome-panel|service-schedule,design-only,blocked-multiple-gates,,0,false,sha256:edf7a7aa89bdba1b0135e840b4d872887739efca9c91107bd5377393bcdf8bb4,sha256:b54f48d389d4a64f2451b755a921c4abcfdfd5a5a4df7a61a3290b2f1be60a58
153,scenario.public-service.sanitation.sanitation-workload.v1,public-service-operations,public-service.sanitation,diagnose,Diagnose sanitation workload and recurring failure patterns,sanitation request workload and recurring service patterns,"taxonomy, route, asset, and work-order reconciliation",verified recurring sanitation tasks without durable resolution,annual,service-area,technical,geographic-alignment,descriptive,asset-condition|asset-inventory|municipal-demand|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:f90b12a5eaa3ab801a7e9a5f91d66afe8ce36c63c21dd985d53cab8c53710a46,sha256:48871d5dee686560db4058bc2314f096d8015745f1ed1c0b48058c91dd085445
154,scenario.public-service.sanitation.waste-service-demand.v1,public-service-operations,public-service.sanitation,forecast,"Forecast waste, recycling, and cleaning workload",waste collection and street-cleaning workload,"seasonal route, land-use, and event-conditioned forecasting",service workload above route and facility capacity,weeks,network,capacity,model-calibration,forecast,asset-inventory|land-parcel|municipal-demand|operating-capacity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:013c459e7a7b8c3a71e0d57c824ffe23f24e1776023a5358911424a9b3799cc8,sha256:da12a4f4761cb4917c9cdc32623b5684641111e4f84952e70961444d7459d99e
155,scenario.public-service.sanitation.sanitation-improvements.v1,public-service-operations,public-service.sanitation,prioritize,Prioritize sanitation assets and service improvements,sanitation asset and service improvement portfolio,"failure, demand, equity, cost, and lifecycle portfolio optimization",expected sanitation service failure and overflow burden,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-condition|asset-inventory|equity-attribute|financial-cost|municipal-demand|transport-network,reference-implemented,reference-implemented,deep.public-service.sanitation-workload.v1,0,false,sha256:e87ee60f13fca2bace5aa7e8317f2313d9bd2b7d78a4c1ea1ed8bb41b3dcdd9a,sha256:03ec772b9b5ce9667fd5c102c61c34851e14916e65fbe1e0888fad7647661f1a
156,scenario.public-service.sanitation.sanitation-facilities.v1,public-service-operations,public-service.sanitation,site,"Site sanitation depots, public bins, and drop-off facilities","sanitation depot, bin, and drop-off locations","demand, network, parcel, environmental, and burden-aware siting",service demand beyond feasible sanitation facility coverage,multi-year,facility,regulatory,legal-authority,simulation|optimization,asset-inventory|environmental-exposure|equity-attribute|land-parcel|legal-regulatory|municipal-demand|transport-network,design-only,blocked-missing-source,,0,false,sha256:60572d60ec4c926e70dbc020014d586a699cdef9fb859c32b37a4fe7de96ec57,sha256:a90cbc36a244666a3162e7a35728181781a28010bea9cfc0baa38eebd4cbaacb
157,scenario.public-service.sanitation.sanitation-crews-fleet.v1,public-service-operations,public-service.sanitation,allocate,"Allocate sanitation crews, fleet, and prevention capacity","sanitation crews, vehicles, and prevention resources",minimum-service and risk-constrained operational allocation,priority sanitation workload without assigned capacity,weeks,network,equity,equity-measurement,simulation|optimization,asset-inventory|equity-attribute|municipal-demand|operating-capacity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:6ac9d73c1fed502eb8f8e20ff440901568b9a314b40e83570c77cbc1d0523e4d,sha256:835a1afecd986e7dd3c93d3aaaad084b48ff3e3e289ad62929dabc6a7ce3afb6
158,scenario.public-service.sanitation.collection-cleaning-routes.v1,public-service-operations,public-service.sanitation,schedule,"Schedule collection, cleaning, inspection, and maintenance routes","sanitation collection, cleaning, and maintenance schedule","demand-, network-, shift-, and facility-constrained routing",priority service-hours outside collection and cleaning targets,weeks,network,time,temporal-alignment,forecast|optimization,asset-inventory|municipal-demand|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:e56d624f0f82ec79b4ec57010dc37048044f8101dfdae4a7e40872edb4a5e287,sha256:1e1ddf13328bb3f0aac2278e8b0d7c54fbb554f51ce516b340a6cfd86ce16bce
159,scenario.public-service.sanitation.waste-continuity.v1,public-service-operations,public-service.sanitation,stress-test,Stress-test sanitation continuity under compound disruption,sanitation continuity under compound operational disruption,"waste-flow, route, fleet, facility, workforce, and market simulation",scenario-weighted essential collection left unserved,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-condition|asset-inventory|climate-hazard|facility-inventory|municipal-demand|transport-network,design-only,blocked-missing-source,,0,false,sha256:fe3efa15456e090a7e535e1b44b5797959b863ee8f9e540f5469e4d2c1d20318,sha256:883ab87d2544acd20fe57096eb0e7fbd9f5e277f5d579470bd754039080a8230
160,scenario.public-service.sanitation.waste-prevention-effect.v1,public-service-operations,public-service.sanitation,evaluate,Evaluate waste prevention and collection redesign,phased sanitation service and waste-prevention redesign,matched route or district event-study with spillover measurement,"change in verified overflow, contamination, and missed collection",multi-year,service-area,equity,causal-identification,descriptive|causal,asset-inventory|community-input|environmental-exposure|equity-attribute|intervention-assignment|municipal-demand|outcome-panel|transport-network,design-only,blocked-multiple-gates,,0,false,sha256:bb1921577a391c0274ed6dbceb65b80e2c97e300cf74727dfd4722747b3ca6fb,sha256:89e991b828281d4b857322642a60f83a03d0724cf9ed139d3cd54771bd215377
161,scenario.public-service.emergency-response.response-coverage-gaps.v1,public-service-operations,public-service.emergency-response,diagnose,Diagnose emergency response coverage and workflow gaps,emergency response workflow and coverage gaps,stage-resolved call-to-unit process diagnosis,priority incidents outside verified response targets,annual,service-area,technical,geographic-alignment,descriptive,equity-attribute|municipal-demand|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:e27b8be2c0814b76fea01cfa8acc10f6fab177356c45baf3c74e9a08f379cbde,sha256:769fcdd7a0c405c6cdf329465140c10254fa2c41e3d87d78a0bfb8534a3045b1
162,scenario.public-service.emergency-response.incident-unit-demand.v1,public-service-operations,public-service.emergency-response,forecast,Forecast emergency call and unit demand,emergency call and unit-hour demand,spatiotemporal incident and service-time forecasting,priority unit-hours above deployable capacity,weeks,service-area,capacity,model-calibration,forecast,climate-hazard|municipal-demand|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:9b586dfebcf6f6cb5e7c10c39e0623de0ee43ee320e2e8a4b19674949ed2aa1f,sha256:e5c37a43d0de20c5ea9470e6309a6de9fce755109446b539cc2e11f07efb554c
163,scenario.public-service.emergency-response.response-readiness-portfolio.v1,public-service-operations,public-service.emergency-response,prioritize,Prioritize emergency response readiness investments,emergency response readiness investment portfolio,"coverage, resilience, safety, equity, and lifecycle prioritization",expected priority response-capacity shortfall,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-condition|equity-attribute|financial-cost|municipal-demand|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:24b63f3a2e582a8c236322231d655c73bcffe602176efb98a0ecd0b4ed953c35,sha256:0488c8b91c870837d72c0683315ea1d4be5306aa97b1b18260204f67f90cd4eb
164,scenario.public-service.emergency-response.response-bases.v1,public-service-operations,public-service.emergency-response,site,Site emergency response and standby bases,emergency response base and standby locations,capacitated time-dependent coverage location-allocation,priority demand beyond resilient response coverage,multi-year,facility,regulatory,legal-authority,simulation|optimization,facility-inventory|land-parcel|municipal-demand|operating-capacity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:a79c1450d74dceb0f735ee3f29d2edf0a49808f8c736f60a60887a073efbcfa8,sha256:3f908446461001bef243238c5c7bcbe5e72e0503679ee0d68d97270bffe9629e
165,scenario.public-service.emergency-response.response-units.v1,public-service-operations,public-service.emergency-response,allocate,Allocate emergency response units and standby capacity,emergency response units and standby capacity,minimum-coverage and workload-balanced unit allocation,priority demand without resilient unit coverage,weeks,network,equity,equity-measurement,simulation|optimization,equity-attribute|municipal-demand|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:96700c558c258f69d4c1e660989603c80c1ca8e0052a91fcafd730daf4f652c9,sha256:677b8d9e44c6cbfe56edebcf9443728603e49ec930d471438793719d58268286
166,scenario.public-service.emergency-response.readiness-coverage.v1,public-service-operations,public-service.emergency-response,schedule,Schedule emergency readiness and coverage,emergency response readiness and coverage schedule,"demand-, skill-, rest-, maintenance-, and coverage-constrained scheduling",priority demand-hours below minimum deployable coverage,weeks,network,time,temporal-alignment,forecast|optimization,legal-regulatory|municipal-demand|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:b98fb2cb8e24fd5523805b9a90da0d6ee4b45f37111faeb9985f691d4202bc15,sha256:a66d889dfe5ebb9613d869d6ccb136bcaf2a2b228918dd5775b15aa376322c65
167,scenario.public-service.emergency-response.multi-incident-surge.v1,public-service-operations,public-service.emergency-response,stress-test,Stress-test emergency response under correlated surge,emergency response under correlated incident and capacity surge,"incident, service-time, network, facility, and workforce failure simulation",scenario-weighted priority incidents without timely unit coverage,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-condition|climate-hazard|facility-inventory|municipal-demand|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:f9c0cd8e327d3c19532350b0d12590eff90581bb17dd995c1d3934f26fe2198b,sha256:265069abf8f80e351795f491b5f49ec822399146cb2316011bc24ab0a2da8459
168,scenario.public-service.emergency-response.dispatch-process-effect.v1,public-service-operations,public-service.emergency-response,evaluate,Evaluate emergency communications and deployment redesign,phased emergency communications and deployment redesign,staggered operational evaluation with incident-mix adjustment,change in stage-resolved priority response time and coverage,multi-year,service-area,equity,causal-identification,descriptive|causal,equity-attribute|intervention-assignment|municipal-demand|operating-capacity|outcome-panel|real-time-state|service-schedule|transport-network,design-only,blocked-multiple-gates,,0,false,sha256:63225657ffafbbb8204234fe556ed9ff5ba7d53ca4e6a40c7a87e410c419bb43,sha256:a2474791811b83ed22e07447099ca3ecd9d22f86d2270d4d94718a912e53dfac
169,scenario.public-service.digital-access.service-journey-friction.v1,public-service-operations,public-service.digital-access,diagnose,Diagnose digital and assisted-service journey friction,end-to-end public-service journey friction,"privacy-preserving event, application, appointment, and contact journey diagnosis",eligible service journeys with unresolved verified friction,annual,population-group,technical,geographic-alignment,descriptive,community-input|demographic-context|equity-attribute|municipal-demand|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:8ac3bdc9644032b56a5b6340c10a2456b1630d4cb5c38d5a2da74790471e5dce,sha256:1d941b0acff84ea9d05b11092219d3a342d7e6aa470974f5d990a27ff10fa37a
170,scenario.public-service.digital-access.channel-support-demand.v1,public-service-operations,public-service.digital-access,forecast,"Forecast digital, phone, and in-person support demand",multichannel administrative service and support demand,service-event and journey-stage workload forecasting,eligible journey demand above qualified channel capacity,weeks,service-area,capacity,model-calibration,forecast,demographic-context|equity-attribute|municipal-demand|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:44c387d44c5e64b626d9615f48849e3eee4176e598ca49a77ddfe8daaae7c4a0,sha256:dafdca1813b467fb178aec9d74e1bb4f506f41e918783feb0c60499789d87d1a
171,scenario.public-service.digital-access.service-redesign-portfolio.v1,public-service-operations,public-service.digital-access,prioritize,Prioritize accessible public-service redesign,accessible administrative service redesign portfolio,"journey-friction, equity, risk, privacy, and lifecycle prioritization",verified user effort and preventable service failure,multi-year,asset,budget,cost-capacity,descriptive|optimization,demographic-context|equity-attribute|financial-cost|legal-regulatory|municipal-demand|service-schedule,design-only,blocked-missing-source,,0,false,sha256:6d4053f717d9e7e792a671a67d231b3d87dd990ec356a45040eafe12110b6696,sha256:7cc50780cb90696a1ecbe9420f5dc9ddfeada9dc9eb3b7d5940e3c9a3043823a
172,scenario.public-service.digital-access.assisted-digital-access.v1,public-service-operations,public-service.digital-access,site,Site assisted digital and administrative access,assisted digital and administrative service locations,"access, privacy, language, connectivity, and capacity-aware siting",eligible residents beyond usable assisted service access,multi-year,facility,regulatory,legal-authority,simulation|optimization,demographic-context|equity-attribute|facility-inventory|municipal-demand|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:0a22e2773b5f11e3abd69d86c2ec7e4560c11f749e07ce986e9f096470b62639,sha256:c952cadcefeb21f329e1e40c33163aa4b4e13a1a8a2ce6e6004fc15e3d2671d7
173,scenario.public-service.digital-access.navigation-support.v1,public-service-operations,public-service.digital-access,allocate,"Allocate navigation, language, and accessibility support",administrative service navigation and access support,minimum-access and journey-complexity allocation,eligible complex journeys without qualified support,weeks,population-group,equity,equity-measurement,simulation|optimization,demographic-context|equity-attribute|municipal-demand|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:0f8cda764b18e9a2892625d5fa6e36760dd0ff008b91a92984312dbea9c8724a,sha256:63658c502d04919d2de5db5ef4f4d5e5e97c0263e5856dd383c70c77cd4b6c18
174,scenario.public-service.digital-access.appointments-support.v1,public-service-operations,public-service.digital-access,schedule,Schedule appointments and multichannel support,administrative appointment and support schedule,"skill, language, channel, accessibility, and deadline-aware scheduling",eligible journey-hours outside service targets,weeks,service-area,time,temporal-alignment,forecast|optimization,demographic-context|equity-attribute|municipal-demand|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:e7779a0f51951a3b834bb25c8e9e86fb6ee59deedf5ef3611f2272ecf883342f,sha256:091b71de68dc36dea39d7a00370761f76d5f8ebeba40934ae3ce97851d37f347
175,scenario.public-service.digital-access.digital-service-continuity.v1,public-service-operations,public-service.digital-access,stress-test,Stress-test public-service continuity during digital outage,administrative service continuity under digital and operational failure,"journey, platform, identity, channel, vendor, and capacity failure simulation",scenario-weighted eligible journeys without lawful service path,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-condition|demographic-context|facility-inventory|legal-regulatory|municipal-demand|service-schedule,design-only,blocked-missing-source,,0,false,sha256:23937f4fa3a049e377b16e43c56f795ee1f02a28dee7deb6e6cb76c601e4dcc1,sha256:c1daac7efd433ac0cf0dfb2fad82f9aca5358119d015d8472b5a144949b9d61a
176,scenario.public-service.digital-access.assisted-service-effect.v1,public-service-operations,public-service.digital-access,evaluate,Evaluate assisted digital service redesign,phased accessible digital and assisted-service redesign,randomized encouragement or staggered service evaluation,change in verified eligible journey completion and user effort,multi-year,population-group,equity,causal-identification,descriptive|causal,community-input|demographic-context|equity-attribute|intervention-assignment|legal-regulatory|municipal-demand|outcome-panel|service-schedule,design-only,blocked-multiple-gates,,0,false,sha256:ffacf5b0c8ed1221a8adf135f38fd96cd60bc8625f4a7e682501295452480e09,sha256:d09ffbda636019323c578b6a1e3e516cdd91380a2ea7b901abbb5cd5a7b32f30
177,scenario.infrastructure.roads-bridges.asset-condition-failure.v1,infrastructure-finance-asset-risk,infrastructure.roads-bridges,diagnose,Diagnose roadway and bridge condition and failure patterns,road and bridge condition and failure patterns,"inspection, sensor, work-order, request, and dependency reconciliation",high-consequence assets with unresolved verified defects,annual,asset,technical,geographic-alignment,descriptive,asset-condition|asset-inventory|geographic-identity|municipal-demand|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:a5c660144ab5e285d9ec2a3415aa7deb68f5bc95501ef1c7c7cab1a3b939038a,sha256:23d2e245cbf4ec698f1213c4860432668b3ccc131135dd1d32bdffe40f525e20
178,scenario.infrastructure.roads-bridges.asset-deterioration.v1,infrastructure-finance-asset-risk,infrastructure.roads-bridges,forecast,Forecast road and bridge deterioration and work demand,road and bridge deterioration and maintenance demand,"inspection-history, load, climate, and treatment-conditioned forecasting",lane- and asset-days below condition targets,weeks,asset,capacity,model-calibration,forecast,asset-condition|asset-inventory|climate-hazard|geographic-identity|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:def90bcc24f8fd64b2c219ab9aa08a1af3fb39fd6e65f9c86f2e8b8a273ad26f,sha256:0fef9c0bede2eddddb295fa8292b07e890c56918326eec3e95559f2e51f3c300
179,scenario.infrastructure.roads-bridges.maintenance-renewal.v1,infrastructure-finance-asset-risk,infrastructure.roads-bridges,prioritize,Prioritize road and bridge maintenance and renewal,road and bridge maintenance and renewal portfolio,"condition, consequence, access, lifecycle cost, and deliverability optimization",expected risk-adjusted deficient asset-years,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-condition|asset-inventory|equity-attribute|financial-cost|geographic-identity|transport-network,reference-implemented,reference-implemented,deep.infrastructure.maintenance-portfolio.v1,0,false,sha256:d2e07bee1ab0a4f304e0486d722c85e4b3ce6ba2eb2680d7b977d978d1bc750c,sha256:e9302539d29e32df17e699ddf749511212d72aec24c75840a4b3a6541734aa57
180,scenario.infrastructure.roads-bridges.maintenance-depots.v1,infrastructure-finance-asset-risk,infrastructure.roads-bridges,site,Site maintenance depots and material staging,road and bridge maintenance depot and staging locations,"network coverage, hazard, parcel, and burden-aware facility siting",high-consequence assets beyond feasible maintenance response,multi-year,facility,regulatory,legal-authority,simulation|optimization,asset-condition|asset-inventory|climate-hazard|equity-attribute|geographic-identity|land-parcel|transport-network,design-only,blocked-missing-source,,0,false,sha256:c6669b12d428e7bdb7656081882641b771c67e084325243eb8994c09338d9730,sha256:519c30a4ead065b51d29d2ebcdb7dfd31fed4db8651ee5696b296ed32d1bf081
181,scenario.infrastructure.roads-bridges.maintenance-crews-equipment.v1,infrastructure-finance-asset-risk,infrastructure.roads-bridges,allocate,"Allocate maintenance crews, equipment, and materials",road and bridge maintenance resources,"risk-, skill-, network-, and minimum-service allocation",high-consequence work without assigned qualified capacity,weeks,network,equity,equity-measurement,simulation|optimization,asset-condition|asset-inventory|equity-attribute|geographic-identity|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:44c75b2d042e14a62c1452e07b9e153be1f5cf91100544015ca4e72343542b2b,sha256:65cdab80d43fd4359c8248df50b0d34e9d3c89e067ca74661543e253966e503f
182,scenario.infrastructure.roads-bridges.maintenance-construction.v1,infrastructure-finance-asset-risk,infrastructure.roads-bridges,schedule,"Schedule inspections, maintenance, and construction windows",road and bridge inspection and maintenance schedule,"condition-, dependency-, traffic-, weather-, and crew-aware scheduling",high-consequence asset-days beyond treatment thresholds,weeks,network,time,temporal-alignment,forecast|optimization,asset-condition|asset-inventory|climate-hazard|geographic-identity|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:b564534d6bf70b70b13b9187c5ebdc4b7fbf56db52789a4e1e102f1cedd36eda,sha256:5963f6c5a67bd535ba39778f9a580ef3c95d951d8de4f21398fa84ad29d780b7
